"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","hook:","","Tue Apr 08 07:46:25 IST 2025","failed","Tue Apr 08 07:46:25 IST 2025","","","",""
"","2","hook:","","Tue Apr 08 07:44:58 IST 2025","failed","Tue Apr 08 07:44:58 IST 2025","","","",""
"","4670","When User adds object name as ""Customer_Obj8""","","Tue Apr 08 07:45:17 IST 2025","passed","Tue Apr 08 07:45:22 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","2","And User selects field type as ""Text""","","Tue Apr 08 07:46:25 IST 2025","skipped","Tue Apr 08 07:46:25 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","1481","And User enters password ""<password>""","","Tue Apr 08 07:44:39 IST 2025","passed","Tue Apr 08 07:44:40 IST 2025","","TwentyCRM Functionality Checking: Login to the Twenty CRM Website","",""
"","2","hook:","","Tue Apr 08 07:45:05 IST 2025","failed","Tue Apr 08 07:45:05 IST 2025","","","",""
"","1","And User should see the added field ""Customer Name"" in the list","","Tue Apr 08 07:46:25 IST 2025","skipped","Tue Apr 08 07:46:25 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","4642","When User clicks on Continue with Email button in alert","","Tue Apr 08 07:44:34 IST 2025","passed","Tue Apr 08 07:44:38 IST 2025","","TwentyCRM Functionality Checking: Login to the Twenty CRM Website","",""
"","2035","Then User should be directed to New Object creation page","","Tue Apr 08 07:45:15 IST 2025","passed","Tue Apr 08 07:45:17 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","3016","Given User is on the Twenty CRM home page","","Tue Apr 08 07:44:59 IST 2025","passed","Tue Apr 08 07:45:02 IST 2025","","TwentyCRM Functionality Checking: Navigate to Settings page","",""
"","2","And User selects field icon as ""User""","","Tue Apr 08 07:46:25 IST 2025","skipped","Tue Apr 08 07:46:25 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","3469","When User clicks on Add button in object creation page","","Tue Apr 08 07:45:12 IST 2025","passed","Tue Apr 08 07:45:15 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","60026","And User should be directed to object detail page for ""Customer_Obj7""","","Tue Apr 08 07:38:26 IST 2025","broken","Tue Apr 08 07:39:26 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","60015","And User should be directed to object detail page for ""Customer_Obj8""","","Tue Apr 08 07:45:24 IST 2025","broken","Tue Apr 08 07:46:25 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","1","Then click on the save button in field form","","Tue Apr 08 07:46:25 IST 2025","skipped","Tue Apr 08 07:46:25 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","8927","Given User navigates to CRM website","","Tue Apr 08 07:44:25 IST 2025","passed","Tue Apr 08 07:44:34 IST 2025","","TwentyCRM Functionality Checking: Login to the Twenty CRM Website","",""
"","3","Given User is on the Twenty CRM profile page for object creation","","Tue Apr 08 07:45:05 IST 2025","passed","Tue Apr 08 07:45:05 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","3","Then User should be directed to profile settings page","","Tue Apr 08 07:45:05 IST 2025","passed","Tue Apr 08 07:45:05 IST 2025","","TwentyCRM Functionality Checking: Navigate to Settings page","",""
"","664","And User enters name ""<username>"" and clicks continue","","Tue Apr 08 07:44:38 IST 2025","passed","Tue Apr 08 07:44:39 IST 2025","","TwentyCRM Functionality Checking: Login to the Twenty CRM Website","",""
"","3","When User clicks on Add Field button in object detail","","Tue Apr 08 07:46:25 IST 2025","skipped","Tue Apr 08 07:46:25 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","4","And User enters field name as ""Customer Name""","","Tue Apr 08 07:46:25 IST 2025","skipped","Tue Apr 08 07:46:25 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","2344","Then click on the save button for object creation","","Tue Apr 08 07:45:22 IST 2025","passed","Tue Apr 08 07:45:24 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","3640","When User clicks on Settings option","","Tue Apr 08 07:45:02 IST 2025","passed","Tue Apr 08 07:45:05 IST 2025","","TwentyCRM Functionality Checking: Navigate to Settings page","",""
"","4629","When User clicks on Data Model in settings","","Tue Apr 08 07:45:05 IST 2025","passed","Tue Apr 08 07:45:10 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","4740","When User adds object name as ""Customer_Obj7""","","Tue Apr 08 07:38:19 IST 2025","passed","Tue Apr 08 07:38:24 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","2083","Then User should be directed to object creation page","","Tue Apr 08 07:45:10 IST 2025","passed","Tue Apr 08 07:45:12 IST 2025","","TwentyCRM Functionality Checking: Create Customer Object with Fields","",""
"","18002","Then User should directed to Home page","","Tue Apr 08 07:44:40 IST 2025","passed","Tue Apr 08 07:44:58 IST 2025","","TwentyCRM Functionality Checking: Login to the Twenty CRM Website","",""
